HR,HIP,Name,RA_hours,RA_deg,Dec,Mag
4357,54872,68Del Leo,11.235138888888889,168.52708333333334,20.52361111111111,2.56
6175,81377,13Zet Oph,16.619305555555556,249.28958333333333,-10.567222222222222,2.56
1865,25985,11Alp Lep,5.5455,83.18249999999999,-17.822222222222223,2.58
4662,59803,4Gam Crv,12.263444444444444,183.95166666666665,-17.541944444444447,2.59
4621,59196,Del Cen,12.139305555555556,182.08958333333334,-50.722500000000004,2.6
7194,93506,38Zet Sgr,19.04352777777778,285.65291666666667,-29.880277777777778,2.6
5685,74785,27Bet Lib,15.283444444444445,229.25166666666667,-9.383055555555556,2.61
4057,50583,41Gam1Leo,10.33286111111111,154.99291666666667,19.841666666666665,2.61
5984,78820,8Bet1Sco,16.09061111111111,241.35916666666662,-19.805555555555557,2.62
2095,28380,37The Aur,5.995361111111111,89.93041666666667,37.212500000000006,2.62
1956,26634,Alp Col,5.660805555555556,84.91208333333334,-34.07416666666667,2.64
553,8903,6Bet Ari,1.9106666666666665,28.659999999999997,20.808055555555555,2.64
4786,61359,9Bet Crv,12.57311111111111,188.59666666666666,-23.396666666666665,2.65
5854,77070,24Alp Ser,15.737805555555555,236.06708333333333,6.4255555555555555,2.65
5571,73273,Bet Lup,14.975527777777778,224.63291666666666,-43.13388888888889,2.68
5235,67927,8Eta Boo,13.911416666666668,208.67125000000001,18.397777777777776,2.68
403,6686,37Del Cas,1.4302777777777778,21.454166666666666,60.23527777777778,2.68
6508,85696,34Ups Sco,17.512722222222223,262.69083333333333,-37.295833333333334,2.69
1577,23015,3Iot Aur,4.949888888888889,74.24833333333333,33.16611111111111,2.69
4216,52727,Mu  Vel,10.7795,161.6925,-49.419999999999995,2.69
4798,61585,Alp Mus,12.619722222222222,189.29583333333335,-69.13555555555556,2.69
2773,35264,Pi  Pup,7.285722222222222,109.28583333333333,-37.097500000000004,2.7
6859,89931,19Del Sgr,18.349916666666665,275.24875,-29.828055555555554,2.7
5506,,36Eps Boo,14.749777777777776,221.24666666666664,27.074166666666667,2.7
7525,97278,50Gam Aql,19.771,296.565,10.613333333333333,2.72
6132,80331,14Eta Dra,16.39986111111111,245.99791666666667,61.51416666666667,2.74
6056,79593,1Del Oph,16.239083333333333,243.58625,-3.6944444444444446,2.74
5531,72622,9Alp2Lib,14.847972222222223,222.71958333333336,-16.041666666666668,2.75
5028,65109,Iot Cen,13.343277777777779,200.14916666666667,-36.71222222222222,2.75
4199,52419,The Car,10.715944444444444,160.73916666666668,-64.39444444444445,2.76
1899,26241,44Iot Ori,5.5905555555555555,83.85833333333333,-5.91,2.77
6148,80816,27Bet Her,16.503666666666668,247.555,21.489722222222223,2.77
6603,86742,60Bet Oph,17.724555555555554,265.86833333333334,4.567222222222222,2.77
5776,76297,Gam Lup,15.585694444444446,233.7854166666667,-41.16694444444444,2.78
6536,85670,23Bet Dra,17.50722222222222,262.60833333333335,52.30138888888889,2.79
1666,23875,67Bet Eri,5.130833333333333,76.9625,-5.086388888888888,2.79
4656,59747,Del Cru,12.252416666666667,183.78625,-58.74888888888889,2.8
98,2021,Bet Hyi,0.4291944444444445,6.437916666666667,-77.25416666666666,2.8
6913,90496,22Lam Sgr,18.466166666666666,276.9925,-25.421666666666667,2.81
3185,39757,15Rho Pup,8.125722222222223,121.88583333333334,-24.304166666666667,2.81
6212,81693,40Zet Her,16.688111111111112,250.3216666666667,31.603055555555557,2.81
6165,81266,23Tau Sco,16.598055555555554,248.9708333333333,-28.21611111111111,2.82
39,1067,88Gam Peg,0.22061111111111112,3.3091666666666666,15.18361111111111,2.83
4932,63608,47Eps Vir,13.036277777777778,195.54416666666668,10.959166666666667,2.83
1829,25606,9Bet Lep,5.47075,82.06125,-20.759444444444444,2.84
6461,85258,Bet Ara,17.421666666666667,261.325,-55.53,2.85
1203,18246,44Zet Per,3.9021944444444445,58.532916666666665,31.88361111111111,2.85
5897,77952,Bet TrA,15.919027777777778,238.78541666666666,-63.43055555555555,2.85
591,9236,Alp Hyi,1.9795,29.6925,-61.569722222222225,2.86
8502,110130,Alp Tuc,22.30836111111111,334.62541666666664,-60.25972222222222,2.86
8322,107556,49Del Cap,21.784000000000002,326.76000000000005,-16.127222222222223,2.87
7528,97165,18Del Cyg,19.749583333333334,296.24375,45.130833333333335,2.87
1165,17702,25Eta Tau,3.7914166666666667,56.87125,24.105,2.87
